"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K09834",5.97711807955958,5.5062124015318,4.65118872180221,5.26587545116269,5.30214941626669,4.68200447576778,4.59565503025175,5.11276871592922
"K12394",9.26059283917262,9.1243143254263,8.87394475972478,8.12610032071616,8.7736894329524,8.66453061794309,8.20804593372078,7.94677754738509
"K16186",5.64378931084501,5.06807712825723,5.27468703630753,5.4512267291948,5.58331601479807,4.15258589860193,4.97799104862497,5.41271887669631
"K02603",5.98846567077551,6.77842591322495,7.57049252789293,7.08585552777658,6.84585851937937,6.75391568780904,6.55032322549994,6.29479468495491
"K01563",5.97711807955958,5.93044277836757,4.96704932106271,5.19781614167454,5.45009130079512,4.96160424265771,5.66887470956941,6.22787559033857
"K21232",3.55212783964546,4.01511494273611,4.06438387231466,4.15722654105439,4.29972576499819,3.70098503283656,4.69185540130071,5.00453001336378
"K21396",7.29920579032925,7.08169801546158,7.19509547757414,7.692212443809,6.94541077177066,6.68487138175495,6.17026796406114,6.51615669625157
"K17362",6.81192558104752,6.42514194866583,5.4295625933238,5.80464761754199,5.75028911236378,5.44252498487042,6.20003227325104,6.00555961606778
"K07568",4.28280305662103,3.89089984849868,4.5569893335116,5.04993187440687,4.29972576499819,4.68200447576778,3.48898178142677,4.17951147895877
"K18204",6.11789613533951,5.19208450373973,4.73828182606615,4.96901862206091,5.91917291075299,4.96160424265771,5.35444391746947,5.4332015709151
"K05539",3.66114548296003,3.89089984849868,3.64787161737727,4.45565302017821,4.43624254226624,4.68200447576778,4.64475777188031,4.85463775195546
"K12196",7.2582183004509,7.63010189814748,7.64321466231879,7.95026642077518,7.04746140942331,7.16157887530421,6.65017316636055,6.6063788105123
"K00020",6.78001727385437,6.66110133747403,5.91591300148486,5.84844254711016,5.95836264985175,6.30913215027987,6.77326312964404,7.12164500090968
"K15731",6.04385868480616,6.04011662101541,6.98689177090626,7.06777379186278,7.20019449047361,6.77620662635964,6.18522892124039,6.35868201019388
"K11155",5.76849966592428,5.30527830818233,5.03477943913509,4.45565302017821,5.06229444083647,4.44990772926082,5.55642973671376,5.37078592623737
"K14001",3.66114548296003,3.54438689110964,4.21234717552777,3.70378964137559,4.14155388914875,3.06069622824735,4.43394720022502,4.39159657036805
"K19804",3.40902660833906,3.74160879952795,4.89543997178088,3.70378964137559,3.51052260228198,4.15258589860193,3.90817832924218,4.23695489369443
"K12579",7.98006676414473,7.63699202033141,7.32723004509108,8.27494731588127,7.99082721186428,6.73127064731295,7.86682346926751,7.59920972277103
"K15305",4.1395752161365,3.89089984849868,3.64787161737727,3.06069622824735,4.43624254226624,4.31219835299119,4.31079846529046,4.43838738057252
"K00942",6.14846651013407,6.12204746428202,6.16530803427376,4.96901862206091,5.60845679845221,5.11813454237136,5.29878098347983,5.62252141779386
"K20793",4.02998451538896,4.01511494273611,3.06069622824735,3.70378964137559,4.37022712531191,4.31219835299119,4.59565503025175,4.23695489369443
"K13171",6.9212274180184,6.77842591322495,6.72400749828765,6.54655049498062,7.46410591334272,7.00086029616889,5.99420625987817,6.10874195678873
"K17906",7.11245697866774,6.79088524727382,5.94963670529739,6.12153283708999,6.13932090377381,6.11146659341493,5.77276777227027,5.80425956119225
"K12176",5.11777904311119,5.5062124015318,5.37991687335562,3.96294079341465,5.20472188118357,5.25763663122512,5.21060952524949,5.16363871638931
"K08894",6.66585393356376,6.16128355147842,5.47743240514216,5.89089346472528,5.97755115652027,6.2462791971212,6.702759115772,6.883532779959
"K08895",6.66585393356376,6.16128355147842,5.47743240514216,5.89089346472528,5.97755115652027,6.2462791971212,6.702759115772,6.883532779959
"K12191",8.08776967758743,7.71068103032171,6.92138306973064,7.40651586723884,7.77050913549399,7.46494780291986,6.62858240669966,7.1754610251514
"K02087",6.04385868480616,6.25483195851776,5.88134984861211,5.61402979579242,5.53159227214092,5.44252498487042,5.48419726707738,4.68368883754987
"K18849",4.18975141916205,4.59858541961818,5.16029022843321,5.04993187440687,5.47781021121763,5.11813454237136,5.64711593113856,5.34931339201039
"K13220",4.51974433181282,4.88130013178125,6.01472741737791,5.50770282825191,5.72764696132616,5.25763663122512,5.57967484354938,5.4332015709151
"K02541",5.97711807955958,5.86023086350608,6.74312271279737,6.40897470590301,6.22172817226668,6.18048928898998,5.81222237055073,5.13845457851569
"K15686",8.14124536435086,7.96171725680929,7.32723004509108,7.53032973914295,7.6580031047274,7.40918868098344,6.68195723399591,7.01412106749032
"K12662",3.7524059391993,4.01511494273611,3.06069622824735,3.96294079341465,4.49841661110216,3.95906613862805,4.59565503025175,4.17951147895877
"K00972",5.02852424324981,5.34094371570836,5.91591300148486,5.26587545116269,5.06229444083647,4.31219835299119,4.90284218363963,4.68368883754987
"K00652",4.1395752161365,3.06069622824735,4.5569893335116,3.70378964137559,4.22388857893963,4.31219835299119,4.09156297794167,4.39159657036805
"K01940",5.24103233392463,5.68103107446944,5.32834770063718,5.50770282825191,5.17056108722248,6.53584017427779,6.06082003626172,5.97852714369297
"K07755",5.52247572444557,5.53695814843953,6.56107650544493,6.46561714749111,6.41583307086247,6.79815448985497,6.27179909628672,6.49740323890609
"K11984",6.66585393356376,7.60923114335074,8.01594722713254,7.703941490895,7.49064493562058,8.17372509328972,7.9427150841132,7.36227926071841
"K03939",5.68663309775461,5.68103107446944,5.32834770063718,4.96901862206091,4.94395143366816,4.44990772926082,4.86348420908097,4.52627663121796
"K19531",4.36787774396638,4.59858541961818,5.21874214792951,4.78943763297809,4.61315167313491,4.78257233954085,5.50870673535798,5.69142783367355
"K04712",5.53824682173164,5.34094371570836,4.5569893335116,4.57810418974005,4.94395143366816,5.55294904593214,5.85058054681443,5.32748759089428
"K16196",6.4793372093625,6.45687377455547,7.38899724430679,7.83770082190463,7.34550033365401,6.90309944740519,6.90460633417026,6.89785446159817
"K03687",6.04385868480616,6.08168150378143,5.73375201086828,5.66422851832701,5.55770095308077,5.49886775896209,6.52714807502314,6.80208800223036
"K10914",4.90728189893886,5.56702041987072,6.16530803427376,5.66422851832701,6.03358081098799,6.07563756067023,5.01393701432728,5.56845421250918
