"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K19547",5.69308894373688,5.65124308232617,4.96997424857993,5.6083404966332,5.29827121932187,5.39363976078252,5.91084528590182,5.72976872100372,5.56908784779687
"K15734",6.44298018597346,6.03233696020797,6.49050749157883,6.64782658560236,6.65046529101443,6.77395879389835,6.90193553580081,6.73456411002504,6.9481191051668
"K19728",6.74382452255149,7.01251367339506,6.38526447999476,6.60189699025528,6.9443992892352,6.71113338722653,7.08908751221813,7.30323926201883,6.96841488077965
"K19916",6.74382452255149,7.01251367339506,6.38526447999476,6.60189699025528,6.9443992892352,6.71113338722653,7.08908751221813,7.30323926201883,6.96841488077965
"K19917",6.74382452255149,7.01251367339506,6.38526447999476,6.60189699025528,6.9443992892352,6.71113338722653,7.08908751221813,7.30323926201883,6.96841488077965
"K19918",6.74382452255149,7.01251367339506,6.38526447999476,6.60189699025528,6.9443992892352,6.71113338722653,7.08908751221813,7.30323926201883,6.96841488077965
"K19939",6.74382452255149,7.01251367339506,6.38526447999476,6.60189699025528,6.9443992892352,6.71113338722653,7.08908751221813,7.30323926201883,6.96841488077965
"K06709",8.49886048908434,8.59280120099164,8.27391833205236,8.45575026611306,8.87072771871365,8.26226394450987,9.00212585442947,8.91322966374981,8.80611332633718
"K14398",7.12587625708707,7.01251367339506,7.45369963623262,7.35423329880107,7.18669754075825,7.251434795778,6.71849315214995,6.89081994142323,7.60500905861995
"K01050",10.5106170454823,10.8929484621981,10.2471964646342,10.4123600814065,10.7391378204159,10.2495325169541,10.7784074110074,10.651603100276,11.0356483882846
"K03322",6.47800825200714,6.29949133887718,6.69652606225238,6.44641829141177,6.7088150477075,6.58616047844608,6.73475284261611,7.28479979531691,6.72683107357286
"K00235",9.34110442086406,9.52307801086042,9.87075193567381,9.61886403840541,9.72920590914644,9.49560998253114,9.44360770270792,9.48391730087453,10.2481090252172
"K07808",4.73358356907874,4.89529336619183,5.54559419283551,5.46663802782124,5.34326784872759,5.39363976078252,5.42747993645332,5.41799180452198,5.37066553745892
"K04728",7.43418522210041,7.19899586433628,7.41276778673833,7.07175824681923,7.61122170454022,7.26997468073284,6.78240312497668,6.81491197276627,7.13886489902283
"K01890",10.8250478914131,10.8738241897263,10.5915472488653,10.3014273985707,10.5583963610613,10.5351305127447,10.1823700420641,10.1321897303811,10.1963326526214
"K22255",6.68580637619766,6.52107286500909,6.97824625248496,6.66066849480509,6.7088150477075,6.81713279283994,6.02688048257726,6.46036535628113,6.84191758465984
"K20815",6.37002395672128,6.36994825658015,5.58838271314611,6.03601458243382,5.9370654683939,6.00005671384662,6.38643119777511,6.09218093961559,5.78778730514123
"K16469",6.02883096338278,6.32339994578932,5.91480652547282,5.51596943801968,5.67882423908948,5.39363976078252,5.74817978777812,5.81711436569387,5.68367528529582
"K01609",7.65784572175805,7.47034438327471,7.33815128291463,7.3658171830122,7.15603110959255,7.43216935024564,7.12611582588416,7.31236917979643,6.67794087315646
"K12200",8.55124527755203,8.90731541300945,8.0268483573932,8.56101938872528,8.70293619060714,8.50360512207516,8.96570000210306,8.80222294118455,8.62341213444844
"K02426",5.47985586433139,5.76787926203481,6.22219117920958,6.32894465468928,6.01216178263587,6.1204851845202,5.91084528590182,5.84485092634836,5.6278472254877
"K00563",5.78628760502312,5.8396214420291,5.74483833867861,5.78569149508834,5.64625467089978,5.58964026531589,6.27732750207293,5.97470820827897,6.40281374203074
"K20028",7.76458820694174,7.74952880575386,8.17407200924036,8.29686261339715,8.48478377841988,8.23760326390208,8.36199791671145,8.2406806599657,8.5191678945179
"K14645",7.92030363928394,7.49076722398246,7.80875312066355,7.79395600206856,7.99582994784036,7.91458893425861,8.34660187681027,8.11182400341358,8.36974735725156
"K07200",6.77193513103234,7.06838427478633,7.11306849656397,6.90573727099842,6.92012601748341,6.67389049496596,7.51700945095546,7.36593985019605,7.2419427633168
"K07151",10.2594636640159,10.1035456041827,10.8523806534159,10.5050450721406,10.7643967197369,10.69884027395,10.4512012362869,10.5350922752455,10.9519586945886
"K03234",12.2862024137044,12.1910144653658,12.6636819251369,12.4675087773715,12.3931133790556,12.4478851563334,11.7784003717341,11.9833527390757,12.0605617856405
"K01044",6.14550746399886,5.56622977374928,5.78083589196666,6.32072775915637,6.12807248921523,6.44841512276972,6.13302942873499,6.19964819525486,6.30782987201892
"K01063",6.14550746399886,5.56622977374928,5.78083589196666,6.32072775915637,6.12807248921523,6.44841512276972,6.13302942873499,6.19964819525486,6.30782987201892
"K14999",6.14550746399886,5.56622977374928,5.78083589196666,6.32072775915637,6.12807248921523,6.44841512276972,6.13302942873499,6.19964819525486,6.30782987201892
"K15743",6.14550746399886,5.56622977374928,5.78083589196666,6.32072775915637,6.12807248921523,6.44841512276972,6.13302942873499,6.19964819525486,6.30782987201892
"K05396",6.82648414724218,6.92425564834957,7.32716200192311,7.51182312772907,7.51042463053746,7.47528214059698,7.20888384126087,7.29404973477907,7.64292607773591
