"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K16465",8.04296460481115,7.81315759159099,8.09530508463106,8.13061493740783,7.31481819672748
"K01551",7.88052808169501,8.14057811596317,7.70176994853651,7.73652307334115,8.51630664302427
"K01520",5.52531969890261,5.44584703723157,4.96364372347378,4.71163430555347,5.23285992439363
"K06911",7.42097124537258,7.16097597858469,7.7167859769502,7.83754521454303,8.00984669069258
"K03242",6.12818334132767,6.01553351548792,6.15058239142809,6.15523394861896,6.85858776466487
"K20280",5.21748736801146,5.27694989116179,4.96364372347378,4.57782240058452,4.56879682671555
"K01192",6.77443883429848,6.8674124833002,6.57747633169132,6.81207759067181,6.04222431165021
"K08330",8.24714482359376,8.21196769436119,8.53219309988547,8.52933621018734,9.05633237396601
"K06027",8.06473903205277,8.52136232687373,8.34722619814781,8.0060757583437,8.82756743995096
"K20163",8.59984849559463,8.6785181352298,7.9881480586387,8.04411529086436,8.04472109530943
"K00433",5.52531969890261,6.30036345412621,5.7559418203827,5.78615238585175,6.25372998516266
"K07093",6.4099761943009,6.21605827352121,5.78627307151874,6.08159735404677,5.5639867583281
"K03320",9.81870616281888,10.2665942378024,10.5622522673608,10.4074797997174,10.6947954368225
"K15256",5.1572429064455,5.32771432877915,4.96364372347378,5.15205674084878,4.45248931077015
"K21767",6.23750564229648,6.02987401388672,5.7559418203827,6.1003872786681,5.38609728057304
"K01190",7.33965284745607,7.46146539225973,7.38166885459547,7.42602433997842,6.65441609617084
"K03844",5.02588888990416,5.07904409713312,5.40435523311453,5.52441167726889,4.67012260157213
"K01966",6.68237400024149,6.77095319088705,6.10424681207176,6.0235947294197,6.49959107022642
"K02144",7.18844259563808,6.9282322738629,6.76463974630976,6.91930101842454,7.62322396594833
"K02202",5.52531969890261,5.39998336945209,5.02227611752237,5.22920019898273,4.67012260157213
"K17566",6.45552512099899,6.85962207565407,6.17316752705143,5.96295699664171,6.30183083334536
"K03868",7.37507299711932,7.33876503945685,6.80776786390528,6.63413194516324,7.2442410877395
"K15449",7.65959426682065,7.3880429724316,7.12356115121557,6.81207759067181,7.51771591251878
"K17592",7.13424058732,7.366351713915,7.30405336328232,7.33657233748055,6.55968735274545
"K05396",6.36287084785718,6.00103717177196,5.78627307151874,5.68783086107103,5.47827597911027
"K15277",6.66321155524304,6.77924920651141,6.03160543611473,6.08159735404677,6.32526145791798
"K04608",5.94549975039002,6.71146517302617,6.41848965642034,6.50150812590508,6.81026090307522
"K03767",9.57047232679654,8.83598393812337,8.96417677309707,8.76650764193243,8.78701328291629
"K03265",5.32921623383898,4.83615645068614,5.02227611752237,5.3014560031656,5.71958233824899
"K10751",5.47918544753275,6.1261766938486,5.27558102510326,5.83264228641981,5.85830161374345
"K10577",5.43124225068087,6.01553351548792,5.59246583817259,5.78615238585175,6.27799208671172
"K09660",6.64378267251053,6.99366062575243,6.23875044720938,6.37022484555369,6.17823710477302
"K08515",10.1230728665859,9.69347581162215,10.4525780621398,10.5110360102613,10.0078098915747
"K14212",6.58381804400558,7.28193532874416,7.30405336328232,7.2896486009702,6.81026090307522
"K17606",6.68237400024149,5.87898279352696,6.59406801826552,6.67157666581946,6.47896609402011
"K20403",7.13424058732,7.19835670120298,7.21135895501635,7.46873108194279,6.55968735274545
"K10669",6.00921134558835,5.44584703723157,5.69304694002561,5.66202354146683,6.30183083334536
"K14950",9.13316704221964,9.23165904963326,9.04646271276383,8.77217617437454,9.68943363793873
"K04974",4.87578354527503,5.19635896354035,4.39839081080696,4.71163430555347,5.1769014504202
"K04975",4.87578354527503,5.19635896354035,4.39839081080696,4.71163430555347,5.1769014504202
"K13701",4.69830499975328,4.71027026666336,4.83512069440809,5.02518853376076,4.12888631590356
"K19367",4.69830499975328,4.71027026666336,4.83512069440809,5.02518853376076,4.12888631590356
"K00130",5.69446554420968,5.77937024302117,5.18105281432452,5.68783086107103,5.05575971112334
"K17675",5.61273501759994,5.77937024302117,5.07781919944062,5.22920019898273,5.82498665949384
"K03008",6.45552512099899,6.07199529286943,6.15058239142809,5.76226709852435,5.60472124783916
"K06929",4.79126066965824,5.04763630696955,5.62689013486972,4.97931512757711,4.84316232334717
"K17278",6.91023660575094,6.57477443332499,6.94266851614604,6.76679011110105,6.12546776017723
"K17499",5.65425898106029,5.04763630696955,5.72487977503772,5.80960518264826,5.23285992439363
"K12880",4.87578354527503,5.22385897223882,5.55706884000262,5.3694975508816,4.76072937099034
