"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"700","K00793",3.92512169743489,3.48408359358466,5.1330731949057,3.6492062402105,4.12466798416602,4.25262517591023,5.53591524562846,5.33403628687654
"701","K10273",7.57413624979324,6.99621024108209,6.78647922926654,5.38928149449575,5.46983514142854,6.26979374454263,5.64903487385254,5.93787540306441
"702","K03066",7.47063305736012,7.46075848612617,6.57649400934433,6.47997651799503,5.62919348577916,5.9422916438115,5.69182893531873,5.4969721109162
"703","K03260",5.64006872095448,5.59489705049749,7.11477450939424,7.01260170665948,6.93946920920064,7.32183999241682,7.44371770870746,7.67397424913177
"704","K02927",5.03677637604468,4.89425725442935,6.60140698979986,5.98952912009383,6.60406284364462,5.84181242311294,6.84909763826558,6.91291047251087
"705","K00995",6.91467977709187,6.75047258748626,4.7232072855528,4.84148040470955,5.52501539798705,5.40520362042023,5.73335064465845,5.72660912960796
"706","K08337",6.32126844318996,6.19601163959489,3.93487807779479,5.28532840130655,4.64134179111593,4.89148930010002,4.957926792256,4.90498514764189
"707","K14018",5.76373561319602,5.83314359701558,5.32959157579315,4.28124800268776,4.12466798416602,4.3851404501789,4.042224925691,3.97268963058921
"708","K07040",2.71827869300912,4.43273137785463,4.51402974045441,3.6492062402105,4.83581398021254,2.71827869300912,3.67028093359806,3.66586809343641
"709","K13499",7.03798536383249,7.05932665148546,5.99492775952128,6.56931304901298,6.67772472803289,6.78158261201689,5.30557215168089,4.99140925824675
"710","K11793",5.76373561319602,6.30471619709071,4.90278116357978,4.59283563988813,4.12466798416602,4.10252563801767,4.48330038449561,4.52692005057997
"711","K05973",2.71827869300912,3.65091956100718,4.98406919284981,3.38215086031603,3.9475271791568,2.71827869300912,4.042224925691,4.40023869461221
"712","K06236",5.10218246197558,4.79363794333221,3.43430908694628,2.71827869300912,3.9475271791568,3.82755781422924,4.48330038449561,4.60461291266766
"713","K22063",5.982497555047,5.99398897026091,4.98406919284981,5.04998940584271,4.74227473687128,5.01119480599624,6.81130261381893,6.49772934466166
"714","K03065",6.97765672658144,7.19662966775521,6.30005534707862,6.43312007440288,6.19883690054606,5.64055185892909,5.46333171774451,4.84403314998276
"715","K09864",5.69638714828568,5.34224662459823,5.20179388778037,4.76386082981924,5.41235686582768,5.04880502283018,4.1169137399137,3.32396004887419
"716","K09872",5.69638714828568,5.34224662459823,5.20179388778037,4.76386082981924,5.41235686582768,5.04880502283018,4.1169137399137,3.32396004887419
"717","K04649",6.2202565651226,5.73223016180095,5.91715880801938,5.77927896244887,4.5315696938922,5.86249043474693,4.18676524857046,4.56637688727451
"718","K22372",5.35383208970032,5.30713446540515,4.81610947763809,5.23022281180215,5.7261165432672,5.66439925619442,3.87432977730989,3.66586809343641
"719","K14863",3.2704927687288,3.48408359358466,5.3892668160583,3.38215086031603,4.41098717140293,3.92784878957003,4.58394069275951,4.96322618755813
"720","K19613",4.41848872168608,4.56501783167434,5.26719254439961,5.98952912009383,5.7261165432672,6.0719245708939,4.58394069275951,4.03627731085445
"721","K01867",3.66358926753772,3.78928668096208,5.3892668160583,5.66102614912064,5.46983514142854,5.46107276296681,5.15857062500568,5.09851719680494
"722","K03039",6.14200228024918,6.5884589378763,5.3892668160583,5.57622891738065,5.00486158705182,4.89148930010002,4.67702155983799,4.20691093745454
"723","K11886",7.42623331744783,7.49915965530634,6.60140698979986,6.96412991652146,6.701459246029,6.48375606119712,5.8696898249692,5.14901714786614
"724","K18757",5.71011878875134,6.37282892014918,5.99492775952128,6.50284010070689,6.72480657184755,5.5915959947935,7.80200396304855,7.40474020983476
"725","K03116",6.1619741533341,5.53593105830571,4.81610947763809,4.39438951853489,4.92305724446273,4.80513807092394,5.99397186868238,6.58030651789512
"726","K15340",4.48910341865475,4.28396279612654,4.51402974045441,2.71827869300912,2.71827869300912,4.3851404501789,4.42967754596581,4.20691093745454
"727","K14776",5.52009673779528,5.62346742852524,7.54429295552416,7.14890825089294,7.27563915192774,7.07259283836802,6.99103875370826,7.24010253871858
"728","K01669",6.3123763123466,6.51513136929846,4.51402974045441,4.84148040470955,5.35237122914404,4.61277633118604,5.60488523744744,6.05866264572303
"729","K12389",7.0272034589982,6.28716623169232,4.62299004036672,5.23022281180215,5.08191133869069,5.7335902830296,5.09497957081484,5.88068320584122
"730","K18134",4.38155450897215,4.50067051101057,2.71827869300912,2.71827869300912,4.12466798416602,3.82755781422924,4.42967754596581,4.60461291266766
